Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
EGF receptor transactivation by GPCRs in cardiac hypertrophy	1/34	0.011841135434323054	0.026877497890606297	0	0	100.8080808080808	447.2023640851642	RHOA
Ephrin receptor A forward pathway	1/34	0.011841135434323054	0.026877497890606297	0	0	100.8080808080808	447.2023640851642	RHOA
Phospholipids as signaling intermediaries	1/36	0.012533916617468993	0.026956111736242284	0	0	95.03809523809524	416.20194419543344	RHOA
Steroid hormone, vitamin A, and vitamin D metabolism	1/36	0.012533916617468993	0.026956111736242284	0	0	95.03809523809524	416.20194419543344	LRP2
ALK in cardiac myocytes	1/37	0.012880151107249067	0.026956111736242284	0	0	92.39351851851852	402.10285931653846	TGFBR1
PI3K/AKT activation	1/37	0.012880151107249067	0.026956111736242284	0	0	92.39351851851852	402.10285931653846	RHOA
Trefoil factor initiation of mucosal healing	1/38	0.013226281560919952	0.026956111736242284	0	0	89.89189189189189	388.83181917405244	RHOA
Signaling events regulated by Ret tyrosine kinase	1/39	0.013572308007059051	0.026956111736242284	0	0	87.5219298245614	376.3201192636575	RHOA
G13 signaling pathway	1/39	0.013572308007059051	0.026956111736242284	0	0	87.5219298245614	376.3201192636575	RHOA
E-cadherin nascent AJ-like junctions pathway	1/39	0.013572308007059051	0.026956111736242284	0	0	87.5219298245614	376.3201192636575	RHOA
Aurora B signaling	1/39	0.013572308007059051	0.026956111736242284	0	0	87.5219298245614	376.3201192636575	RHOA
Plasma membrane estrogen receptor signaling	1/41	0.01426404896544071	0.027564310838621913	0	0	83.1375	353.3354529299383	RHOA
Alpha-M beta-2 integrin signaling	1/41	0.01426404896544071	0.027564310838621913	0	0	83.1375	353.3354529299383	RHOA
PI3K class IB pathway in neutrophils	1/43	0.014955374188168613	0.028514913452108156	0	0	79.17063492063492	332.7292054829482	RHOA
RhoA signaling pathway	1/45	0.01564628387469986	0.02931790208399777	0	0	75.56439393939394	314.1606183022885	RHOA
Polo-like kinase 1 (PLK1) pathway	1/46	0.015991582954907876	0.02931790208399777	0	0	73.88148148148149	305.55110809661255	RHOA
RhoA activity regulation	1/46	0.015991582954907876	0.02931790208399777	0	0	73.88148148148149	305.55110809661255	RHOA
G alpha 12 pathway	1/49	0.01702685745129035	0.030820767285247096	0	0	69.25347222222223	282.06685294018627	RHOA
Signaling events mediated by PTP1B	1/52	0.01806119836172449	0.03188581932995806	0	0	65.16993464052288	261.5914254592524	RHOA
Vitamin B12 metabolism	1/52	0.01806119836172449	0.03188581932995806	0	0	65.16993464052288	261.5914254592524	LRP2
Thrombin signaling through protease-activated receptors	1/53	0.018405771321200717	0.032097869499167105	0	0	63.91346153846154	255.34009527710208	RHOA
Thromboxane A2 receptor signaling	1/56	0.019438868522823557	0.033282033853058196	0	0	60.41818181818182	238.07667848957996	RHOA
Pathogenic Escherichia coli infection	1/57	0.019783027115454172	0.033282033853058196	0	0	59.336309523809526	232.7722436237054	RHOA
SHP2 signaling	1/57	0.019783027115454172	0.033282033853058196	0	0	59.336309523809526	232.7722436237054	RHOA
RAGE pathway	1/60	0.020814881836986526	0.03421296669757556	0	0	56.31073446327684	218.040067108672	ACE
Neurotrophic factor-mediated Trk receptor signaling	1/60	0.020814881836986526	0.03421296669757556	0	0	56.31073446327684	218.040067108672	RHOA
Leptin signaling pathway	1/61	0.021158626475049302	0.03438276802195511	0	0	55.36944444444445	213.4883869485878	RHOA
Signaling events mediated by focal adhesion kinase	1/62	0.021502267689373616	0.03448979686263244	0	0	54.459016393442624	209.10066918631128	RHOA
MAPK cascade role in angiogenesis	1/64	0.022189239939595696	0.03448979686263244	0	0	52.72486772486773	200.7840887685652	PLXND1
Angiotensin II-stimulated signaling through G-proteins and beta-arrestin	1/64	0.022189239939595696	0.03448979686263244	0	0	52.72486772486773	200.7840887685652	RHOA
Endothelins	1/64	0.022189239939595696	0.03448979686263244	0	0	52.72486772486773	200.7840887685652	RHOA
LPA receptor mediated events	1/65	0.022532571033877194	0.03464685653596171	0	0	51.8984375	196.84005200040266	RHOA
G alpha 13 pathway	1/67	0.023218923274213387	0.035322404555452276	0	0	50.32070707070707	189.3461363331078	RHOA
Signaling events mediated by VEGFR1 and VEGFR2	1/70	0.0242476771638985	0.03574657561275758	0	0	48.1256038647343	179.00002909758112	RHOA
Pancreatic cancer	1/70	0.0242476771638985	0.03574657561275758	0	0	48.1256038647343	179.00002909758112	TGFBR1
Hedgehog signaling pathway	1/70	0.0242476771638985	0.03574657561275758	0	0	48.1256038647343	179.00002909758112	LRP2
Bacterial invasion of epithelial cells	1/71	0.024590388704151093	0.03588189372136333	0	0	47.43571428571428	175.76827747389902	RHOA
Chronic myeloid leukemia	1/73	0.025275502302547336	0.03627089437048907	0	0	46.113425925925924	169.6014749165987	TGFBR1
Integrins in angiogenesis	1/74	0.02561790441552025	0.03627089437048907	0	0	45.47945205479452	166.65780482203337	RHOA
Seven transmembrane receptor signaling through beta-arrestin	1/74	0.02561790441552025	0.03627089437048907	0	0	45.47945205479452	166.65780482203337	RHOA
G alpha (12/13) signaling events	1/77	0.02664449230460775	0.037354533329008906	0	0	43.67763157894737	158.33896273162452	RHOA
Signaling events mediated by hepatocyte growth factor receptor (c-Met)	1/79	0.027328369111917827	0.03794132799033252	0	0	42.5534188034188	153.1850716850233	RHOA
MAP kinase signaling pathway	1/81	0.0280118340691475	0.03851627184507781	0	0	41.485416666666666	148.31568354350281	TGFBR1
ATM-dependent DNA damage response	1/82	0.028353412163333074	0.038614647041491715	0	0	40.97119341563786	145.98068571220736	RHOA
MicroRNAs in cardiomyocyte hypertrophy	1/85	0.029377529238781355	0.039631949822129565	0	0	39.50198412698413	139.34424479285835	RHOA
Androgen receptor signaling, proteolysis, and transcription regulation	1/88	0.03040072102728244	0.040252806545383234	0	0	38.13409961685824	133.21342891839572	RHOA
Hematopoietic cell lineage	1/88	0.03040072102728244	0.040252806545383234	0	0	38.13409961685824	133.21342891839572	MME
G-protein signaling pathways	1/95	0.03278457410233855	0.04301095501499461	0	0	35.28191489361702	120.58642908644987	RHOA
Wnt signaling pathway and pluripotency	1/98	0.033804686617199584	0.04394609260235946	0	0	34.18556701030928	115.79184255951503	RHOA
Dilated cardiomyopathy	1/100	0.03448424920041465	0.044425654375308966	0	0	33.49158249158249	112.77461836050252	ACE
Pancreatic secretion	1/101	0.034823876845101125	0.044462628471870186	0	0	33.155	111.31632143244033	RHOA
Epidermal growth factor receptor (EGFR) pathway	1/111	0.03821452556538948	0.048359974830537125	0	0	30.125757575757575	98.34672814151301	RHOA
mTOR signaling pathway	1/113	0.038891428780786726	0.0487848624180044	0	0	29.584821428571427	96.0613646778723	RHOA
Vascular smooth muscle contraction	1/116	0.03990601797378043	0.049187123710973626	0	0	28.808695652173913	92.79938111288821	RHOA
CXCR4 signaling pathway	1/116	0.03990601797378043	0.049187123710973626	0	0	28.808695652173913	92.79938111288821	RHOA
Leukocyte transendothelial migration	1/117	0.040244010308978416	0.049187123710973626	0	0	28.558908045977013	91.7538912265917	RHOA
Rho GTPase cycle	1/123	0.04226982343478136	0.05120013143479009	0	0	27.146174863387976	85.88186048130174	RHOA
p75 neurotrophin receptor-mediated signaling	1/124	0.04260710238279735	0.05120013143479009	0	0	26.92411924119241	84.96536704450101	RHOA
Neurotrophin signaling pathway	1/126	0.04328135487228399	0.05157694788947175	0	0	26.490666666666666	83.1815765353765	RHOA
PDGFB signaling pathway	1/129	0.04429197047216803	0.052345056012562216	0	0	25.865885416666668	80.62271996548587	RHOA
Tight junction	1/133	0.04563803451072045	0.05349376176256578	0	0	25.0770202020202	77.41310792741105	RHOA
NGF signaling via TRKA from the plasma membrane	1/136	0.04664651585184369	0.05423131517734673	0	0	24.516049382716048	75.14554139444749	RHOA
T cell receptor signaling pathway	1/139	0.047654083666241055	0.05495591906671348	0	0	23.979468599033815	72.98839362010013	RHOA
EGFR1 pathway	1/152	0.05200967121074598	0.059026849072513286	0	0	21.90066225165563	64.74548831540879	MME
Integrated breast cancer pathway	1/152	0.05200967121074598	0.059026849072513286	0	0	21.90066225165563	64.74548831540879	TGFBR1
Integrin signaling pathway	1/155	0.053012378448342314	0.05969110329222796	0	0	21.47077922077922	63.06461335243215	RHOA
Alzheimer's disease	1/169	0.05767966858746592	0.06443900475005958	0	0	19.66765873015873	56.10889066624948	MME
Chemokine signaling pathway	1/189	0.06431301714825119	0.07129272443565829	0	0	17.55762411347518	48.17800160116977	RHOA
Platelet activation, signaling and aggregation	1/205	0.06959084061619641	0.07654992467781606	0	0	16.16748366013072	43.088321571259165	RHOA
Signaling by NGF	1/221	0.07484312678473039	0.08169898572684309	0	0	14.979545454545455	38.832389416956126	RHOA
Actin cytoskeleton regulation	1/226	0.07647924536211083	0.08285251580895339	0	0	14.642962962962963	37.64319024054623	RHOA
Wnt signaling pathway	1/231	0.07811288325913428	0.08398603237636243	0	0	14.321014492753623	36.51286252103994	RHOA
Focal adhesion	1/233	0.07876564453994499	0.08405587439710548	0	0	14.196120689655173	36.07629430715471	RHOA
Cytokine-cytokine receptor interaction	1/265	0.08915607676865031	0.09443939983642219	0	0	12.455176767676768	30.108730477231543	TGFBR1
Insulin signaling pathway	1/277	0.09302650623268696	0.09781463522995762	0	0	11.906400966183575	28.2761641446402	RHOA
MAPK signaling pathway	1/314	0.10487172181514143	0.10946464393843229	0	0	10.47923322683706	23.63085297912843	TGFBR1
Hemostasis pathway	1/468	0.15276029180742112	0.15829508498884942	0	0	6.968593861527481	13.09318861263854	RHOA
Lipid and lipoprotein metabolism	1/489	0.15911714644454641	0.1636960571335981	0	0	6.661543715846994	12.244680615764644	LRP2
TGF-beta regulation of extracellular matrix	1/565	0.18178243837952482	0.18567777634480034	0	0	5.741430260047282	9.788821095026883	MME
Interleukin-2 signaling pathway	1/847	0.26136855965505124	0.26507591511115125	0	0	3.7720646178092987	5.061445935166495	RHOA
Signaling by GPCR	1/977	0.29576118607434343	0.2978440113283881	0	0	3.247438524590164	3.956039203921427	RHOA
Metabolism	1/1615	0.44537957474498313	0.44537957474498313	0	0	1.8978727798430401	1.5350533724933026	LRP2
