Entry,Reviewed,Entry Name,Protein names,Gene Names,B,A,D,C,E,F,G,H,I,C,D,A,B,E,F,H,I,G,A,B,D,C,E,F,I,H,G
A0A337S8L4,unreviewed,A0A337S8L4_FELCA,Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.2) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase),ACP1,19.33592175,19.52632931,19.08986481,18.15379748,21.57739972,19.85759074,20.54553061,19.34345076,18.32165832,16.50005818,14.1805269,15.42199807,18.35657927,17.32972576,15.80745672,15.15575061,17.66488922,19.20897687,17.82098776,16.82610415,13.99005626,17.38875123,17.69876836,18.25751685,19.24671812,19.84059961,17.61456425
A0A337S165,unreviewed,A0A337S165_FELCA,Lysosomal acid phosphatase (EC 3.1.3.2),ACP2,24.03566807,21.8522637,22.3562153,22.92469008,22.85335845,21.10537219,22.26198801,22.76131642,23.03031465,20.06347301,20.577426,20.17633738,19.42504512,19.94104923,19.73870634,20.4719911,21.04930105,21.44823817,18.47133744,20.09385903,19.52067623,19.98753157,19.5582631,19.26466273,19.67932451,20.20188826,20.65284187
A0A337SAA6,unreviewed,A0A337SAA6_FELCA,Lysosomal acid phosphatase (EC 3.1.3.2),ACP2,21.40990619,18.95934718,19.57318564,20.9570301,19.54685538,17.72279733,18.8889438,19.6114081,19.30995163,16.35520843,17.81985848,17.8573688,17.36783418,18.40971196,18.04740119,18.01256441,15.68978612,16.79395208,17.25221834,16.94665087,17.67306793,18.35379278,18.43088188,18.82734604,17.99793637,18.04019292,17.95349889
A0A2I2UHD0,unreviewed,A0A2I2UHD0_FELCA,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.15) (EC 6.2.1.3) (Acyl-CoA synthetase) (Long-chain acyl-CoA synthetase),ACSL5,10,17.2495425,10.37952988,16.08258234,10,15.84905198,10,18.72899459,20.37425578,18.18462853,17.29361328,16.39122423,16.84481496,16.38975071,18.7046174,18.18744917,17.68985663,16.2324741,15.37484458,17.41644581,15.04311908,17.39065011,16.03216953,15.3707047,10,16.40502128,17.5066
A0A5F5XWN0,unreviewed,A0A5F5XWN0_FELCA,"Actin alpha 1, skeletal muscle",ACTA1 CCSAP,23.67865414,22.51544964,23.1497278,21.69751608,21.87745533,23.33031083,20.71696026,23.54332663,23.15775546,19.93894528,18.01376441,19.0971562,19.13161279,13.10700923,18.46095432,19.1271706,20.34320477,19.63391686,19.51831341,18.49045853,17.0913589,18.26758963,17.74885655,18.51576838,17.75238325,19.0948931,19.02443147
A0A5F5XDM4,unreviewed,A0A5F5XDM4_FELCA,"Actin, cytoplasmic 1 (Beta-actin)",ACTB,27.98885291,27.23990585,26.51763346,26.32693531,25.72927365,27.01197026,24.96977772,26.79571599,26.26635708,24.43049772,22.99057196,23.13493395,23.31646685,23.30457383,23.88936596,23.85166346,23.40295412,24.01142121,23.31761766,23.30100397,24.02781455,23.1108822,23.9194903,23.48280135,23.47292168,23.67390277,23.78253815
M3W6I2,unreviewed,M3W6I2_FELCA,"Actin, cytoplasmic 2 (Gamma-actin)",ACTG1,23.63535299,22.19608743,21.79925353,23.03995472,22.0577068,24.11627844,20.35637869,22.46995032,22.37698039,20.14346588,19.64192012,19.31068879,19.63325682,20.57052284,20.13639093,20.52015057,18.58957138,19.60268106,19.94921166,20.73573557,19.95634631,19.44772939,20.96337144,20.3486147,19.26960292,19.58369604,19.89630831
A0A337SCW1,unreviewed,A0A337SCW1_FELCA,"Actin, gamma-enteric smooth muscle (Gamma-2-actin) (Smooth muscle gamma-actin)",ACTG2,27.78094452,27.05618276,26.6826534,26.02084202,25.78466624,26.60709381,24.66172561,26.42081474,26.24881907,23.94325089,22.7464488,22.70061217,23.27167027,22.71391059,22.94651322,23.36709414,23.43206342,23.44720935,22.99890461,23.13487913,22.99017631,22.63020811,23.21370347,23.07783741,23.62136574,23.70028235,23.67824139
A0A2I2U3E4,unreviewed,A0A2I2U3E4_FELCA,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4,24.49095957,22.45887143,23.86001093,22.17369851,22.61307196,22.3675415,21.99542093,23.10089631,23.96740042,21.10115218,21.67089293,21.68768993,21.61175306,19.63628001,21.11454356,21.25756856,22.92291743,21.44372162,21.46968676,21.14322513,20.63716361,20.49323672,20.97734729,21.11833361,21.56800002,21.68180068,22.10391363
M3W8V8,unreviewed,M3W8V8_FELCA,Serine/threonine-protein kinase receptor (EC 2.7.11.30),ACVR1,19.22880584,18.79537898,20.19122943,20.28634073,20.14674326,19.55664565,20.2634042,20.00633933,20.18061927,17.14012476,14.40236419,16.31591257,16.01084632,12.92407668,15.2476672,13.24968746,15.61269535,13.42605748,15.11674148,15.41225066,13.53412922,15.77712708,12.12375971,14.81676085,13.11089213,15.6070018,14.55032781
A0A337RUC4,unreviewed,A0A337RUC4_FELCA,receptor protein serine/threonine kinase (EC 2.7.11.30),ACVR1B,24.62460032,24.08610377,24.51750867,24.90741282,24.21906046,23.69328482,24.79167983,25.05443184,25.23847345,17.66891117,16.91346634,20.4458746,18.03527641,17.23573999,19.42836498,19.85707032,17.2707477,15.84405518,14.71001086,17.60476381,18.04171904,16.3606346,16.01837016,18.14247695,18.39954586,16.73921444,17.75558847
M3VUE2,unreviewed,M3VUE2_FELCA,Serine/threonine-protein kinase receptor (EC 2.7.11.30),ACVRL1,23.0231588,22.24648692,22.62802646,21.35642014,20.23133741,20.09077689,17.7131506,18.86935881,21.06841157,16.3335248,16.6535331,17.75657318,16.54413376,18.80859792,17.13217475,18.39498195,14.42598392,17.47991255,17.40514917,16.50836868,19.06819583,19.71329141,18.27926915,17.00267283,19.47181527,18.21274174,17.96395846
A0A337RV46,unreviewed,A0A337RV46_FELCA,N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),ACY1,24.43460111,23.95193103,23.63066231,24.20461296,23.97553789,24.63405132,22.07019111,23.69520361,22.79413487,23.52254702,21.34673359,22.06555357,20.74408743,20.8012875,21.96629564,21.49766225,21.7160457,22.91030007,23.00719279,22.93703203,21.00740858,22.48229965,21.39981767,21.32613925,21.96403831,22.11595229,22.1218203
A0A337SC15,unreviewed,A0A337SC15_FELCA,N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),ACY1,21.97221521,21.87905129,20.95839361,21.90115553,21.97338259,22.46999632,19.513383,21.16406816,20.87469574,19.14511612,17.32592954,17.36793116,18.70155373,18.8879663,18.21027152,18.02173811,18.10935617,17.77694087,18.06083347,18.41368926,17.68966362,19.01610553,17.99179813,18.9950038,19.63264506,18.56811122,18.78319091
A0A2I2UWI1,unreviewed,A0A2I2UWI1_FELCA,Disintegrin and metalloproteinase domain-containing protein 10 (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease),ADAM10,23.03971067,22.64684247,22.01558835,21.94532616,21.0357268,20.81823612,21.02041602,22.18590065,21.75699399,19.60731387,20.86683879,19.76897963,20.32294656,21.74850024,20.28704716,20.7641383,20.0218571,20.6782052,18.77268752,18.57237569,21.59655269,20.2261111,21.23107342,22.05796958,19.83333288,20.04726721,20.28365884
A0A2I2V2H3,unreviewed,A0A2I2V2H3_FELCA,ADAM metallopeptidase domain 8,ADAM8,15.07061949,16.42055233,16.39013919,13.84056058,14.58669198,10,13.62851738,16.30262655,14.87968424,14.14047501,11.58237507,11.13340666,14.27916624,10,10,11.94364554,10,10,10,10,14.11275258,11.13838897,10,10,10,10,12.63393293
A0A337S9H1,unreviewed,A0A337S9H1_FELCA,ADAM metallopeptidase domain 9,ADAM9,19.05025375,16.45615548,16.77727219,18.65743171,17.93165016,17.54877049,18.54883856,20.57780378,19.64987836,12.18270149,13.78334865,14.02925382,14.68495145,13.87600475,15.08556701,13.75302762,15.1979623,14.81320073,13.47415682,10.87673578,14.88520553,14.79040777,12.74210628,13.73192339,13.57555126,14.6308986,13.39679856
M3X5J0,unreviewed,M3X5J0_FELCA,ADAM metallopeptidase with thrombospondin type 1 motif 13,ADAMTS13,22.3873945,21.05701244,22.49582666,15.30115802,17.98502095,16.30572506,16.95096847,20.35188536,18.37030823,19.83387511,18.37164673,19.59436303,19.85222882,18.81433127,19.25173875,19.10650091,18.50946127,18.83091289,19.29277457,17.46949173,18.4135565,17.43685465,17.30016938,18.5496813,18.75145254,17.9650043,17.44949274
A0A5F5XCM7,unreviewed,A0A5F5XCM7_FELCA,ADAM metallopeptidase with thrombospondin type 1 motif 2,ADAMTS2,24.04615984,24.44764049,24.82214201,22.73632167,20.74036771,16.56601491,20.40045692,24.24900635,24.20724947,14.40677738,14.20116147,13.66747624,13.39902331,14.12746369,13.48898503,15.76132013,12.61652776,12.44390846,13.32767862,14.67266221,16.67514809,12.11983409,13.77720093,12.11755487,16.32779448,13.62878071,14.05319712
M3WNU5,unreviewed,M3WNU5_FELCA,ADAMTS like 2,ADAMTSL2,22.83687459,22.02473107,22.17573096,19.82393273,18.82825754,16.88854216,19.1563059,22.30187337,16.80917028,18.08272146,17.53544279,17.83987693,18.08587885,16.84560325,17.93542985,17.98123228,17.94104647,17.2847989,18.03743119,16.70267997,15.81424822,17.54337528,17.03821694,18.42665667,18.527224,18.574736,17.9683471
M3VVC4,unreviewed,M3VVC4_FELCA,ADAMTS like 4,ADAMTSL4,23.17842183,24.32997083,23.19600794,19.7379027,20.94821583,15.95785227,21.1291191,22.38018601,22.70493844,21.15186766,20.33490815,21.1715004,21.1382777,18.56246636,20.75861818,20.93635843,20.40459627,20.8412208,20.25029014,19.6305725,20.37969632,19.18963767,17.96720481,20.13078022,21.08245074,20.97902033,21.08181459
A0A337SUP1,unreviewed,A0A337SUP1_FELCA,Adhesion G protein-coupled receptor E2,ADGRE2,23.60672742,23.83439754,23.63320917,24.19017348,22.1131124,21.83591322,22.30598449,22.74833684,23.05218056,14.86657419,10,11.11806915,11.84019581,14.66098444,10,12.8520369,12.94575933,10,13.18915167,12.99720941,14.64808889,14.07987847,13.08733229,10,10,13.10764738,10
A0A5F5XF14,unreviewed,A0A5F5XF14_FELCA,Adhesion G protein-coupled receptor E5,ADGRE5,21.67645394,21.07572736,21.66654939,22.52633048,21.19846083,20.63190666,19.21507316,21.79934215,21.3054013,15.33947162,13.04410118,11.45453703,14.41769233,14.74568606,13.69495384,15.33838716,13.93688253,14.72218328,13.87303994,14.26515165,14.82336849,12.38140925,12.49821426,14.10801429,14.44302254,14.56320638,15.36203751
A0A2I2UTI9,unreviewed,A0A2I2UTI9_FELCA,Adhesion G protein-coupled receptor F5,ADGRF5,19.51464319,19.08654312,20.59535925,20.65040187,18.48395627,19.11935003,19.64245656,20.78048699,20.53778848,17.46151218,18.26199422,18.31513484,23.82677763,18.82821997,20.30660187,21.85724955,18.95151779,20.11121833,17.6796816,18.27282794,19.12729817,19.39092309,19.72035662,19.69668204,20.0183035,18.10045949,24.08834875
A0A2I2UM02,unreviewed,A0A2I2UM02_FELCA,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56),ADGRG1,25.34817677,25.12018296,24.4619613,24.08209715,23.56452429,22.24947763,22.15205858,24.18646519,23.91370856,18.68928872,20.5557403,19.80146546,18.66593823,19.64838386,19.89972948,20.3955288,20.14001511,20.4949905,19.92764417,20.1729536,19.01201726,19.09632325,20.03889034,20.4613348,19.98047168,20.81937822,19.99955499
A0A5F5XG72,unreviewed,A0A5F5XG72_FELCA,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56),ADGRG1,24.39460793,24.16188609,23.48573619,22.86392321,21.87326164,20.83651902,20.95893613,22.93389297,22.8296698,20.8479391,21.54222942,21.54294765,21.06088976,20.81053806,20.89683948,20.04257741,17.71835448,19.61558361,21.10664084,21.32849271,21.48414802,20.65069241,21.03124117,20.65169096,20.5218029,20.51202209,19.99232056
A0A2I2U088,unreviewed,A0A2I2U088_FELCA,Adhesion G protein-coupled receptor G6,ADGRG6,21.37701934,20.41051218,19.44826627,18.4550025,17.3643581,19.41809678,16.53107596,17.9547428,18.7978314,16.6379672,17.02183492,17.02087652,16.73564518,18.78362222,17.98363636,19.0908861,17.1375078,16.76843149,17.62998571,17.01408005,17.19696356,17.54421978,18.51422769,18.54313836,16.4594511,18.02616259,18.26346104
A0A2I2UB34,unreviewed,A0A2I2UB34_FELCA,Adhesion G protein-coupled receptor L1,ADGRL1,26.14094895,26.03072762,26.25509406,25.6541869,23.94807,23.50341581,24.54399239,25.4558935,25.28847793,18.65299663,18.18144487,18.18072648,19.04744779,19.37862751,19.41754667,19.93329594,21.72652427,21.6570897,18.76672352,19.0492007,19.6142311,19.69367389,19.9156953,19.08365796,20.22731504,20.52737631,20.8854099
A0A2I2U0D3,unreviewed,A0A2I2U0D3_FELCA,Adhesion G protein-coupled receptor L2,ADGRL2,22.36492737,21.57064501,22.21771182,21.44953502,22.12681364,21.10009998,20.50115049,22.33825651,22.29677946,20.27231248,20.53513405,20.56551866,19.80988197,19.50822259,20.1638011,20.84476138,21.06301825,20.98063081,20.38609445,21.42744782,21.55470998,20.54546824,19.44168509,21.49889405,21.69313135,19.25792864,20.82597047
A0A2I2U5R8,unreviewed,A0A2I2U5R8_FELCA,Adhesion G protein-coupled receptor L3,ADGRL3,23.93809409,23.80894692,24.12302438,23.57355739,21.62107677,21.3991915,22.28524808,23.48456967,23.40397698,16.97035554,15.84766998,15.90303137,16.71084657,15.94833195,16.70741983,15.50732486,18.93842644,16.8302738,16.15395021,15.70838598,16.51162305,14.40933497,17.54598017,16.26089465,16.65375629,17.87943312,16.85143145
A0A337SL34,unreviewed,A0A337SL34_FELCA,Adhesion G protein-coupled receptor L4,ADGRL4,21.10227038,20.65148885,21.22619082,21.30266263,18.46365648,18.31233478,18.70842738,20.35703637,19.98372413,17.7080257,14.90490477,17.28324674,15.18795128,16.71062263,14.12076191,16.363011,17.54607654,13.52364029,16.93730037,14.58682193,16.43363597,14.44617006,15.82512499,15.52969945,15.72829129,15.21109695,16.36223145
A0A3B0IPC1,unreviewed,A0A3B0IPC1_FELCA,Adiponectin A,ADIA,20.64307391,19.95140237,20.03487994,18.39376104,22.29681497,20.00615254,20.06735701,19.34920242,18.43228027,24.98798079,24.31283688,24.64432519,25.15308068,23.91764612,24.09123624,23.73659121,23.35398423,23.98193612,25.1907973,24.53310101,24.22036288,24.65099393,24.37376444,24.13934193,23.77724473,24.17667451,24.06965387
A0A3B0J2D0,unreviewed,A0A3B0J2D0_FELCA,Adiponectin D,ADID,19.40543862,21.31205031,21.69065859,20.79489396,19.85421462,22.33829933,22.12053866,20.01766316,19.29976552,25.2510778,23.42394224,24.63334431,24.41781859,24.66495634,25.51221736,23.56646169,23.44898459,24.14678105,25.02792952,24.17642077,22.91844988,24.62006736,24.97841318,25.61392767,23.6159011,23.3010375,24.3079041
A0A337SQU4,unreviewed,A0A337SQU4_FELCA,ADP dependent glucokinase,ADPGK,19.02530367,19.0781827,19.58988045,18.86342303,19.21661483,18.76847402,18.16744902,18.39851023,18.81805992,16.86542758,19.98674408,18.56428594,18.68603325,19.36498409,19.74996247,20.01019602,20.10168218,20.16026203,19.51882001,18.84137757,20.20910742,20.10481454,19.0056273,20.53663015,20.35983861,20.0003756,19.85883673
A0A2I2U1Z3,unreviewed,A0A2I2U1Z3_FELCA,Afamin,AFM,26.1769557,27.0969469,26.13577834,25.39969017,25.55825297,26.4995707,25.54338381,27.12916047,25.94791886,28.79136555,28.52123841,28.71629297,28.65775199,28.27895128,29.25738474,29.29258976,28.64370596,29.02558789,28.66842863,28.48140598,27.96937237,29.02546064,28.24388771,29.00860797,28.69948868,29.14876248,28.75869792
M3XC81,unreviewed,M3XC81_FELCA,Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF),AFMID,20.86121021,19.46270642,20.25960883,20.22848285,20.8221314,21.08416043,16.9136203,19.69557835,18.66005359,16.72103763,20.61201354,18.22418818,18.62095162,20.73649524,16.40450844,15.74251647,21.56933752,20.5891892,19.36818919,15.39391208,20.59533211,20.1132538,21.20025542,20.12603554,19.00158823,15.62501186,20.5470019
M3X557,unreviewed,M3X557_FELCA,Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin),AFP,19.77020443,17.75245168,17.76638065,20.7907146,20.37336007,22.24291293,20.59669393,19.67962924,20.11325395,20.98746381,19.91456335,21.74344502,21.35557075,22.49377262,21.64418198,22.12818816,22.17228592,21.89593498,21.13092684,20.02742082,19.62814466,21.74270245,23.20234005,22.61575642,21.35777931,21.47365377,22.05939862
A0A5F5XS55,unreviewed,A0A5F5XS55_FELCA,Aspartylglucosaminidase,AGA,24.52421539,22.73679746,22.83600679,24.04455016,23.3346301,22.80068259,23.53669543,24.64778646,22.71040324,19.58724488,19.9673947,19.04673412,19.60807742,19.32030062,18.94105841,19.36546824,18.93896515,18.49082523,18.54846942,18.62216042,18.45204984,19.06124234,19.49312741,19.66633348,18.97482678,18.4417178,19.2928953
M3X0F1,unreviewed,M3X0F1_FELCA,Aspartylglucosaminidase,AGA,16.1925117,19.44126422,18.69071824,20.97230566,21.15281132,20.85049543,20.65167242,19.60257159,17.88962736,14.15221371,14.94492241,15.66417189,15.30352932,16.46810747,18.21302865,17.75623929,14.29166917,16.6028103,14.92797551,16.12183132,14.98020102,16.05728356,16.05815698,17.47557119,15.53989429,17.26919102,16.52597394
Q6KCA0,unreviewed,Q6KCA0_FELCA,Alpha1-glycoprotein acid,agp,25.33099417,26.60287345,25.76397941,24.6174966,25.97227074,26.56895482,26.30778008,26.75347715,26.28697137,27.87680635,27.77737374,28.48287399,28.64781257,26.72197426,27.22074722,27.84943994,25.44943645,26.57048409,28.34737636,27.9891218,24.71260882,26.91163062,26.78210282,27.68424214,26.48360463,27.27133083,27.45634516
