Entry Name,Protein names,Gene Names,URINE,PLASMA,SERUM,BIOFLUID
A0A337S319_FELCA,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase),ACMSD,18.315,19.221,14.979,URINE+PLASMA
M3VWD8_FELCA,Cytoplasmic aconitate hydratase (EC 4.2.1.3) (Citrate hydro-lyase) (Iron-responsive element-binding protein 1),ACO1,21.350,24.001,21.950,PLASMA
A0A5F5XXE9_FELCA,Acyl-coenzyme A oxidase,ACOX3,19.615,19.116,20.306,SERUM
A0A337S8L4_FELCA,Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.2) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase),ACP1,19.528,16.625,17.632,URINE+SERUM
A0A337S165_FELCA,Lysosomal acid phosphatase (EC 3.1.3.2),ACP2,22.576,20.321,19.714,URINE
A0A337SAA6_FELCA,Lysosomal acid phosphatase (EC 3.1.3.2),ACP2,19.553,17.373,17.942,URINE
A0A2I2UHD0_FELCA,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.15) (EC 6.2.1.3) (Acyl-CoA synthetase) (Long-chain acyl-CoA synthetase),ACSL5,14.296,17.324,15.616,URINE+PLASMA
A0A5F5XWN0_FELCA,"Actin alpha 1, skeletal muscle",ACTA1 CCSAP,22.630,18.539,18.389,URINE
A0A5F5XDM4_FELCA,"Actin, cytoplasmic 1 (Beta-actin)",ACTB,26.538,23.592,23.565,URINE
M3W6I2_FELCA,"Actin, cytoplasmic 2 (Gamma-actin)",ACTG1,22.450,19.794,20.017,URINE
A0A337SCW1_FELCA,"Actin, gamma-enteric smooth muscle (Gamma-2-actin) (Smooth muscle gamma-actin)",ACTG2,26.363,23.174,23.227,URINE
A0A2I2U3E4_FELCA,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4,23.003,21.383,21.244,URINE
M3W8V8_FELCA,Serine/threonine-protein kinase receptor (EC 2.7.11.30),ACVR1,19.851,14.925,14.450,URINE
A0A337RUC4_FELCA,receptor protein serine/threonine kinase (EC 2.7.11.30),ACVR1B,24.570,18.078,17.086,URINE
M3VUE2_FELCA,Serine/threonine-protein kinase receptor (EC 2.7.11.30),ACVRL1,20.803,17.059,18.181,URINE+SERUM
A0A337RV46_FELCA,N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),ACY1,23.710,21.841,22.040,URINE
A0A337SC15_FELCA,N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),ACY1,21.412,18.172,18.572,URINE
A0A2I2UWI1_FELCA,Disintegrin and metalloproteinase domain-containing protein 10 (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease),ADAM10,21.829,20.452,20.291,URINE
A0A2I2V2H3_FELCA,ADAM metallopeptidase domain 8,ADAM8,14.569,11.453,10.876,URINE
A0A337S9H1_FELCA,ADAM metallopeptidase domain 9,ADAM9,18.355,14.156,13.567,URINE
M3X5J0_FELCA,ADAM metallopeptidase with thrombospondin type 1 motif 13,ADAMTS13,19.023,19.129,18.070,PLASMA
A0A5F5XCM7_FELCA,ADAM metallopeptidase with thrombospondin type 1 motif 2,ADAMTS2,22.468,13.790,14.078,URINE
M3WNU5_FELCA,ADAMTS like 2,ADAMTSL2,20.094,17.726,17.626,URINE
M3VVC4_FELCA,ADAMTS like 4,ADAMTSL4,21.507,20.589,20.077,URINE
A0A337SUP1_FELCA,Adhesion G protein-coupled receptor E2,ADGRE2,23.036,12.032,12.345,URINE
A0A5F5XF14_FELCA,Adhesion G protein-coupled receptor E5,ADGRE5,21.233,14.077,14.035,URINE
A0A2I2UTI9_FELCA,Adhesion G protein-coupled receptor F5,ADGRF5,19.823,19.769,19.566,URINE+SERUM+PLASMA
A0A2I2UM02_FELCA,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56),ADGRG1,23.898,19.810,19.945,URINE
A0A5F5XG72_FELCA,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56),ADGRG1,22.704,20.453,20.809,URINE
A0A2I2U088_FELCA,Adhesion G protein-coupled receptor G6,ADGRG6,18.862,17.464,17.688,URINE
A0A2I2UB34_FELCA,Adhesion G protein-coupled receptor L1,ADGRL1,25.202,19.575,19.751,URINE
A0A2I2U0D3_FELCA,Adhesion G protein-coupled receptor L2,ADGRL2,21.774,20.416,20.737,URINE
A0A2I2U5R8_FELCA,Adhesion G protein-coupled receptor L3,ADGRL3,23.071,16.596,16.442,URINE
A0A337SL34_FELCA,Adhesion G protein-coupled receptor L4,ADGRL4,20.012,15.928,15.673,URINE
A0A3B0IPC1_FELCA,Adiponectin A,ADIA,19.908,24.242,24.348,URINE+SERUM
A0A3B0J2D0_FELCA,Adiponectin D,ADID,20.759,24.341,24.284,URINE+PLASMA
A0A337SQU4_FELCA,ADP dependent glucokinase,ADPGK,18.881,19.277,19.826,URINE+SERUM+PLASMA
A0A2I2U1Z3_FELCA,Afamin,AFM,26.165,28.798,28.667,URINE+PLASMA
M3XC81_FELCA,Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF),AFMID,19.776,18.802,19.108,URINE+SERUM+PLASMA
M3X557_FELCA,Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin),AFP,19.898,21.593,21.471,URINE+PLASMA
A0A5F5XS55_FELCA,Aspartylglucosaminidase,AGA,23.464,19.252,18.950,URINE
M3X0F1_FELCA,Aspartylglucosaminidase,AGA,19.494,15.933,16.106,URINE
Q6KCA0_FELCA,Alpha1-glycoprotein acid,agp,26.023,27.400,27.071,URINE+PLASMA
A0A5F5XI81_FELCA,Agrin,AGRN,21.752,20.089,19.024,URINE+SERUM
A0A2I2UUP6_FELCA,Angiotensinogen (Serpin A8),AGT,31.812,27.971,27.933,URINE
A0A2I2U551_FELCA,Adenosylhomocysteinase (S-adenosyl-L-homocysteine hydrolase),AHCY,19.874,17.029,17.613,URINE
A0A337SD37_FELCA,Alpha-2-HS-glycoprotein (Fetuin-A),AHSG,28.304,30.802,30.778,URINE+PLASMA
A0A5F5XVZ8_FELCA,Alpha-2-HS-glycoprotein (Fetuin-A),AHSG,20.594,15.844,14.738,URINE+SERUM
A0A5F5XHI8_FELCA,Aldo-keto reductase family 1 member A1 (EC 1.1.1.19) (EC 1.1.1.2) (EC 1.1.1.20) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (Glucuronolactone reductase),AKR1A1,23.097,20.732,20.142,URINE
A0A5F5XWS8_FELCA,Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (Aldose reductase),AKR1B1,22.763,19.716,19.610,URINE
A0A5F5XQC7_FELCA,NADP-dependent oxidoreductase domain-containing protein,AKR1C3,15.348,11.258,10.593,URINE
M3WA76_FELCA,Aldo-keto reductase family 7 like (gene/pseudogene),AKR7L,21.001,19.543,19.900,URINE
ALBU_FELCA,Albumin (allergen Fel d 2),ALB,35.059,36.602,36.597,URINE+PLASMA
A0A2I2U7Y0_FELCA,Albumin,ALB,29.901,31.582,31.453,URINE+PLASMA
A0A2I2UX74_FELCA,CD166 antigen (Activated leukocyte cell adhesion molecule),ALCAM,24.235,22.965,21.866,URINE+SERUM
M3WAV4_FELCA,aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3),ALDH1A1,24.674,23.884,24.339,URINE+SERUM+PLASMA
A0A337RUT4_FELCA,10-formyltetrahydrofolate dehydrogenase (EC 1.5.1.6),ALDH1L1,20.175,11.601,12.549,URINE
A0A337STY8_FELCA,"Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2)",ALDH2,18.231,15.224,14.357,URINE
A0A337RWN1_FELCA,aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3),ALDH7A1,12.442,11.319,12.690,URINE+SERUM
A0A337S2J9_FELCA,Aldehyde dehydrogenase 8 family member A1,ALDH8A1,21.608,19.388,19.331,URINE
A0A337SF20_FELCA,Aldehyde dehydrogenase 8 family member A1,ALDH8A1,17.243,19.455,17.089,PLASMA
M3W1Z4_FELCA,4-trimethylaminobutyraldehyde dehydrogenase (EC 1.2.1.19) (EC 1.2.1.3) (EC 1.2.1.46) (EC 1.2.1.47) (Aldehyde dehydrogenase family 9 member A1) (Formaldehyde dehydrogenase) (Gamma-aminobutyraldehyde dehydrogenase),ALDH9A1,21.878,20.133,19.680,URINE
A0A337S416_FELCA,Fructose-bisphosphate aldolase (EC 4.1.2.13),ALDOA,24.620,23.488,23.604,URINE
A0A5F5XME0_FELCA,Fructose-bisphosphate aldolase (EC 4.1.2.13),ALDOB,24.828,22.010,21.298,URINE
A0A337SRA7_FELCA,Alkaline phosphatase (EC 3.1.3.1),ALPI,20.075,15.304,15.217,URINE
PPBT_FELCA,"Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase) (EC 3.9.1.1)",ALPL,25.778,21.899,22.001,URINE
A0A337SNZ0_FELCA,Protein amnionless,AMN,23.084,21.983,21.917,URINE
A0A337SBE3_FELCA,Protein amnionless,AMN,24.686,22.648,22.353,URINE
A0A5F5Y013_FELCA,Alpha-amylase (EC 3.2.1.1),AMY2B,26.184,25.467,25.571,URINE+SERUM+PLASMA
M3X5H0_FELCA,Alpha-amylase (EC 3.2.1.1),AMY2B,20.270,18.045,17.741,URINE
A0A337SEZ4_FELCA,Angiopoietin-2,ANGPT2,23.489,22.222,22.104,URINE
M3X749_FELCA,Angiopoietin 4,ANGPT4,23.675,19.562,19.630,URINE
A0A5F5XNX6_FELCA,Angiopoietin like 1,ANGPTL1,22.814,20.759,21.487,URINE
M3WA23_FELCA,Angiopoietin like 2,ANGPTL2,26.807,23.521,23.653,URINE
M3WET8_FELCA,Angiopoietin like 3,ANGPTL3,27.126,19.973,20.042,URINE
A0A5F5Y1K1_FELCA,Angiopoietin like 6,ANGPTL6,23.732,18.024,18.307,URINE
A0A337SS27_FELCA,Aminopeptidase N (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (Microsomal aminopeptidase),ANPEP,20.936,18.500,17.849,URINE
AMPN_FELCA,Aminopeptidase N (AP-N) (fAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (CD antigen CD13),ANPEP APN,26.564,23.411,23.426,URINE
A0A337SIV7_FELCA,ANTXR cell adhesion molecule 1,ANTXR1,25.374,19.921,20.117,URINE
A0A337SPR7_FELCA,ANTXR cell adhesion molecule 2,ANTXR2,18.042,18.871,18.806,URINE+SERUM+PLASMA
A0A5F5XLK1_FELCA,Annexin,ANXA1,20.220,18.189,19.139,URINE
M3W3I3_FELCA,Annexin A10,ANXA10,19.494,14.696,14.616,URINE
A0A5F5XPA1_FELCA,Annexin,ANXA11,26.053,21.884,21.804,URINE
M3XFZ3_FELCA,Annexin,ANXA11,20.036,11.683,10.896,URINE
A0A337SIG2_FELCA,Annexin,ANXA13,22.644,20.512,20.444,URINE
A0A337SCD2_FELCA,Annexin,ANXA2,24.503,20.754,21.070,URINE
A0A337S137_FELCA,Annexin,ANXA4,24.843,21.995,22.153,URINE
A0A337S5C0_FELCA,Annexin,ANXA5,22.864,21.581,21.392,URINE
A0A5F5Y7J8_FELCA,Annexin,ANXA5,17.763,14.740,15.346,URINE
A0A337SBJ0_FELCA,Annexin,ANXA5,21.504,18.238,16.897,URINE+SERUM
A0A337SF88_FELCA,Annexin,ANXA6,23.083,20.290,20.501,URINE
A0A5F5XRH7_FELCA,Annexin,ANXA6,23.051,21.337,21.278,URINE
A0A2I2UN04_FELCA,Annexin,ANXA7,23.225,21.980,22.014,URINE
A0A2I2U0U5_FELCA,Amine oxidase (EC 1.4.3.-),AOC2,15.091,15.525,15.951,URINE+SERUM+PLASMA
A0A337SWK3_FELCA,Amine oxidase (EC 1.4.3.-),AOC3,23.739,21.976,21.955,URINE
A0A2I2U7C2_FELCA,Adaptor related protein complex 1 subunit beta 1,AP1B1,18.689,15.235,12.815,URINE+SERUM
A0A337SCH1_FELCA,Amyloid beta protein binding family B member 1,APBB1 HPX,27.731,32.286,32.305,URINE+SERUM
A0A5F5XCW1_FELCA,Amyloid beta protein binding family B member 1,APBB1 HPX,26.633,31.113,31.047,URINE+PLASMA
M3W2J4_FELCA,Amyloid beta protein binding family B member 1,APBB1 HPX,25.357,29.192,29.094,URINE+PLASMA
A0A5F5XQY3_FELCA,Amyloid beta like protein 1,APLP1,22.060,18.732,18.778,URINE
A0A2I2UM58_FELCA,Amyloid beta like protein 2,APLP2,24.042,21.345,21.525,URINE
A0A337S837_FELCA,Apolipoprotein A-I (Apolipoprotein A1),APOA1,27.486,33.111,33.423,URINE+SERUM
M3WPG6_FELCA,Apolipoprotein A-I (Apolipoprotein A1),APOA1,23.770,30.104,30.417,URINE+SERUM
APOA4_FELCA,Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4),APOA4,25.209,28.662,28.980,URINE+SERUM
A0A337SHX7_FELCA,Apolipoprotein B,APOB,26.623,26.171,26.213,URINE+SERUM+PLASMA
APOC1_FELCA,Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I],APOC1,21.823,24.723,24.776,URINE+SERUM
M3WNX1_FELCA,Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2),APOC2,21.730,26.505,26.505,URINE+PLASMA
M3WSC8_FELCA,Apolipoprotein C-III (Apolipoprotein C3),APOC3,23.624,30.078,30.205,URINE+SERUM
M3W2V3_FELCA,Apolipoprotein C-IV (Apolipoprotein C4),APOC4,13.621,23.679,23.671,URINE+PLASMA
M3X8P7_FELCA,Apolipoprotein D (Apo-D),APOD,23.960,27.092,27.252,URINE+SERUM
A0A5F5XHD8_FELCA,Beta-2-glycoprotein 1 (Apolipoprotein H) (Beta-2-glycoprotein I),APOH,27.195,30.523,30.472,URINE+PLASMA
A0A5F5XPI7_FELCA,Beta-2-glycoprotein 1 (Apolipoprotein H) (Beta-2-glycoprotein I),APOH,27.008,26.518,26.696,URINE+SERUM+PLASMA
A0A2I2U3L7_FELCA,Apolipoprotein M,APOM,22.812,27.076,27.187,URINE+SERUM
M3W828_FELCA,Apolipoprotein M,APOM,20.126,24.641,24.838,URINE+SERUM
A0A0A0MPX8_FELCA,Amyloid-beta A4 protein,APP,24.855,20.359,20.924,URINE
A0A2I2UMH4_FELCA,Adenine phosphoribosyltransferase (EC 2.4.2.7),APRT,19.752,20.649,20.469,URINE+SERUM+PLASMA
A0A2I2UAM6_FELCA,Aquaporin-1 (Aquaporin-CHIP) (Water channel protein for red blood cells and kidney proximal tubule),AQP1,22.828,17.753,17.850,URINE
A0A2I2U5A2_FELCA,Aquaporin-2 (ADH water channel) (Aquaporin-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct),AQP2,23.336,20.679,19.793,URINE
M3VUM2_FELCA,Amphiregulin,AREG,20.925,17.003,17.983,URINE
A0A2I2U8Y1_FELCA,ADP-ribosylation factor 3,ARF3,21.278,18.828,18.440,URINE
M3VXU3_FELCA,Arginase (EC 3.5.3.1),ARG1,17.264,15.263,15.327,URINE
A0A2I2UBL3_FELCA,Rho GDP-dissociation inhibitor 1 (Rho-GDI alpha),ARHGDIA,21.832,18.752,19.168,URINE
A0A2I2UL98_FELCA,Rho GDP dissociation inhibitor beta,ARHGDIB,14.006,14.946,13.848,PLASMA
M3WSL5_FELCA,Actin-related protein 2/3 complex subunit 4,ARPC4,18.643,16.729,16.669,URINE
M3WMY0_FELCA,Actin-related protein 2/3 complex subunit 5,ARPC5,18.007,17.145,17.102,URINE+SERUM+PLASMA
M3XEH2_FELCA,Arrestin domain containing 1,ARRDC1,22.714,19.751,19.245,URINE
A0A5F5Y690_FELCA,Arrestin domain containing 1,ARRDC1,21.043,19.258,18.957,URINE
M3WDK2_FELCA,Arylsulfatase A,ARSA,23.970,19.660,19.753,URINE
A0A5F5XKR0_FELCA,Arylsulfatase G,ARSG,19.033,19.945,18.456,PLASMA
M3XAU5_FELCA,NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase),ART1,22.870,19.623,19.630,URINE
A0A2I2UC45_FELCA,NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase),ART3,22.182,21.068,21.288,URINE
M3XDK8_FELCA,NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase),ART4,24.020,19.550,19.274,URINE
A0A2I2V0N3_FELCA,Acid ceramidase (EC 3.5.1.23),ASAH1,29.022,20.985,21.142,URINE
A0A5F5XFU3_FELCA,Ankyrin repeat and SOCS box containing 1,ASB1,16.935,21.849,21.926,URINE+SERUM
A0A337SSG0_FELCA,Asialoglycoprotein receptor 1,ASGR1,19.133,16.451,16.148,URINE
A0A337SX21_FELCA,Asialoglycoprotein receptor 1,ASGR1,20.080,12.108,13.189,URINE+SERUM
A0A337SAN3_FELCA,Asialoglycoprotein receptor 1,ASGR1,19.951,13.216,14.928,URINE+SERUM
A0A2I2U788_FELCA,Argininosuccinate lyase,ASL,20.457,21.489,21.459,URINE+PLASMA
M3WLS9_FELCA,Aspartate dehydrogenase domain-containing protein,ASPDH,21.581,20.649,20.620,URINE+SERUM+PLASMA
M3WWN6_FELCA,Asporin,ASPN,20.832,17.590,16.930,URINE
M3W3H5_FELCA,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),ASS1,20.723,18.521,19.057,URINE
M3W551_FELCA,Copper transport protein ATOX1 (Metal transport protein ATX1),ATOX1,27.099,20.032,20.192,URINE
A0A2I2UGY1_FELCA,Sodium/potassium-transporting ATPase subunit alpha,ATP1A1,24.576,20.554,20.913,URINE
M3WB86_FELCA,Sodium/potassium-transporting ATPase subunit beta,ATP1B1,24.283,24.977,24.699,URINE+SERUM+PLASMA
M3WZB0_FELCA,ATP synthase subunit alpha,ATP5F1A,19.352,20.191,19.507,URINE+SERUM+PLASMA
M3WF16_FELCA,ATPase H+ transporting accessory protein 1,ATP6AP1,22.100,14.723,13.470,URINE+SERUM
A0A337SFQ2_FELCA,Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin/prorenin receptor),ATP6AP2,23.381,23.090,22.837,URINE+SERUM+PLASMA
A0A2I2UMK7_FELCA,V-type proton ATPase subunit a,ATP6V0A1,18.568,16.539,17.445,URINE
A0A5F5XUE7_FELCA,V-type proton ATPase proteolipid subunit,ATP6V0C,18.030,14.488,14.692,URINE
A0A337SG88_FELCA,V-type proton ATPase subunit,ATP6V0D1,19.904,19.678,19.022,URINE+SERUM+PLASMA
A0A2I2U1C8_FELCA,H(+)-transporting two-sector ATPase (EC 7.1.2.2),ATP6V1A,23.045,21.406,21.352,URINE
A0A2I2V4V3_FELCA,Vacuolar proton pump subunit B (V-ATPase subunit B) (Vacuolar proton pump subunit B),ATP6V1B2,22.938,21.697,22.058,URINE
A0A337SKQ1_FELCA,V-type proton ATPase subunit C,ATP6V1C1,19.690,18.252,18.872,URINE
A0A337SK67_FELCA,V-type proton ATPase subunit E 1 (V-type proton ATPase subunit e 1) (Vacuolar proton pump subunit E 1),ATP6V1E1,20.026,17.216,16.841,URINE
A0A2I2V0F1_FELCA,V-type proton ATPase subunit G,ATP6V1G1,19.534,12.664,12.955,URINE
A0A337SHV5_FELCA,V-type proton ATPase subunit H,ATP6V1H,17.327,15.759,17.525,URINE+SERUM
A0A337SFT2_FELCA,Attractin,ATRN,27.533,26.537,26.890,URINE+SERUM+PLASMA
A0A2I2U5X4_FELCA,Arginine vasopressin,AVP,19.788,13.165,13.307,URINE
A0A2I2UTQ4_FELCA,receptor protein-tyrosine kinase (EC 2.7.10.1),AXL,26.008,20.802,20.463,URINE
B2MG_FELCA,Beta-2-microglobulin,B2M,26.495,21.574,21.493,URINE
M3WAQ7_FELCA,Hexosyltransferase (EC 2.4.1.-),B3GNT2,24.562,22.300,22.706,URINE
A0A2I2UH51_FELCA,"Beta-1,4-galactosyltransferase (Beta-1,4-GalTase) (EC 2.4.1.-)",B4GALT1,22.786,20.458,20.747,URINE
A0A5F5XM71_FELCA,"Beta-1,4-galactosyltransferase (Beta-1,4-GalTase) (EC 2.4.1.-)",B4GALT5,21.259,18.137,18.316,URINE
M3WQ57_FELCA,"Beta-1,4-glucuronyltransferase 1 (I-beta-1,3-N-acetylglucosaminyltransferase) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)",B4GAT1,25.721,23.484,24.413,URINE
A0A2I2V0L4_FELCA,Brain-specific angiogenesis inhibitor 1-associated protein 2,BAIAP2,20.970,19.662,19.775,URINE
A0A5F5XSY0_FELCA,BAR/IMD domain containing adaptor protein 2 like 1,BAIAP2L1,20.330,22.691,22.501,URINE+PLASMA
A0A337S942_FELCA,BMP and activin membrane-bound inhibitor homolog,BAMBI,23.247,21.616,16.677,URINE+SERUM
A0A337STZ5_FELCA,Brain abundant membrane attached signal protein 1,BASP1,19.634,20.973,20.580,PLASMA
M3W2U8_FELCA,Basal cell adhesion molecule (Lutheran blood group),BCAM,26.952,21.722,22.048,URINE
A0A2I2UQE2_FELCA,Branched-chain-amino-acid aminotransferase (EC 2.6.1.42),BCAT1,17.193,18.771,18.963,URINE+SERUM
A0A2I2U2A7_FELCA,BCL6 corepressor like 1,BCORL1,11.839,14.386,14.263,URINE+PLASMA
A0A5F5XI01_FELCA,Dehydrogenase/reductase SDR family member 6 (EC 1.1.1.104) (EC 1.1.1.30) ((R)-beta-hydroxybutyrate dehydrogenase) (3-hydroxybutyrate dehydrogenase type 2) (4-oxo-L-proline reductase) (Oxidoreductase UCPA) (Short chain dehydrogenase/reductase family 15C member 1),BDH2,20.846,18.976,19.574,URINE
A0A5F5XF81_FELCA,Osteocalcin,BGLAP,18.768,13.973,14.628,URINE
A0A2I2UZ39_FELCA,Bridging integrator 1,BIN1,20.477,18.142,17.910,URINE
A0A337SQ46_FELCA,Biliverdin reductase B,BLVRB,24.026,20.489,22.189,URINE+SERUM
M3VVW0_FELCA,Biliverdin reductase B,BLVRB,20.049,19.892,21.398,SERUM
M3XCQ9_FELCA,receptor protein serine/threonine kinase (EC 2.7.11.30),BMPR1A,16.531,13.591,16.463,URINE+SERUM
A0A2I2U0V3_FELCA,receptor protein serine/threonine kinase (EC 2.7.11.30),BMPR2,21.614,18.413,18.053,URINE
M3VUA4_FELCA,"BOC cell adhesion associated, onco regulated",BOC,15.920,20.845,21.428,URINE+SERUM
M3WM50_FELCA,BPI fold-containing family A member 1 (Palate lung and nasal epithelium clone protein),BPIFA1,21.514,22.737,20.972,PLASMA
A0A2I2UYJ3_FELCA,Bactericidal permeability-increasing protein (BPI),BPIFC,14.670,16.266,15.659,PLASMA
A0A5F5XJH2_FELCA,BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein),BROX,22.174,20.941,20.134,URINE
A0A5F5XRG8_FELCA,BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein),BROX,21.886,18.240,18.360,URINE
A0A337S935_FELCA,Bromodomain and WD repeat domain containing 1,BRWD1,13.648,18.537,17.090,URINE+PLASMA
A0A5F5XCB9_FELCA,Basigin,BSG,24.856,20.696,20.722,URINE
A0A2I2UA49_FELCA,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),BST1,24.087,19.994,20.111,URINE
A0A2I2U769_FELCA,Bone marrow stromal cell antigen 2,BST2,20.991,21.933,22.299,SERUM
A0A2I2U4L9_FELCA,Biotinidase (EC 3.5.1.12),BTD,24.944,24.247,24.305,URINE+SERUM+PLASMA
A0A337SAQ9_FELCA,B and T lymphocyte associated,BTLA,20.761,18.289,18.289,URINE
A0A2I2V139_FELCA,Chromosome 19 open reading frame 33,C19orf33,18.035,20.223,18.388,PLASMA
M3WS63_FELCA,Complement C1q subcomponent subunit A,C1QA,23.370,23.834,23.898,URINE+SERUM+PLASMA
A0A337SJG7_FELCA,Complement C1q C chain,C1QC,18.870,24.344,24.417,URINE+SERUM
A0A5F5XD66_FELCA,C1q and TNF related 5,C1QTNF5,18.729,13.332,13.746,URINE
A0A337SDE6_FELCA,complement subcomponent C1r (EC 3.4.21.41),C1R,24.218,24.478,25.513,SERUM
A0A337S217_FELCA,CUB domain-containing protein,C1R,19.272,24.027,25.052,URINE+SERUM
