Entry,Protein,Gene,Urine,Plasma,Serum
A0A337SQU4_FELCA,ADP dependent glucokinase,ADPGK,18.9,19.3,19.8
A0A2I2U1Z3_FELCA,Afamin,AFM,26.2,28.8,28.7
M3XC81_FELCA,Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF),AFMID,19.8,18.8,19.1
M3X557_FELCA,Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin),AFP,19.9,21.6,21.5
A0A5F5XS55_FELCA,Aspartylglucosaminidase,AGA,23.5,19.3,19
M3X0F1_FELCA,Aspartylglucosaminidase,AGA,19.5,15.9,16.1
Q6KCA0_FELCA,Alpha1-glycoprotein acid,agp,26,27.4,27.1
A0A5F5XI81_FELCA,Agrin,AGRN,21.8,20.1,19
A0A2I2UUP6_FELCA,Angiotensinogen (Serpin A8),AGT,31.8,28,27.9
A0A2I2U551_FELCA,Adenosylhomocysteinase (S-adenosyl-L-homocysteine hydrolase),AHCY,19.9,17,17.6
A0A337SD37_FELCA,Alpha-2-HS-glycoprotein (Fetuin-A),AHSG,28.3,30.8,30.8
A0A5F5XVZ8_FELCA,Alpha-2-HS-glycoprotein (Fetuin-A),AHSG,20.6,15.8,14.7
A0A5F5XHI8_FELCA,Aldo-keto reductase family 1 member A1 (EC 1.1.1.19) (EC 1.1.1.2) (EC 1.1.1.20) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (Glucuronolactone reductase),AKR1A1,23.1,20.7,20.1
A0A5F5XWS8_FELCA,Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (Aldose reductase),AKR1B1,22.8,19.7,19.6
A0A5F5XQC7_FELCA,NADP-dependent oxidoreductase domain-containing protein,AKR1C3,15.3,11.3,10.6
M3WA76_FELCA,Aldo-keto reductase family 7 like (gene/pseudogene),AKR7L,21,19.5,19.9
ALBU_FELCA,Albumin (allergen Fel d 2),ALB,35.1,36.6,36.6
A0A2I2U7Y0_FELCA,Albumin,ALB,29.9,31.6,31.5
A0A2I2UX74_FELCA,CD166 antigen (Activated leukocyte cell adhesion molecule),ALCAM,24.2,23,21.9
M3WAV4_FELCA,aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3),ALDH1A1,24.7,23.9,24.3
A0A337RUT4_FELCA,10-formyltetrahydrofolate dehydrogenase (EC 1.5.1.6),ALDH1L1,20.2,11.6,12.5
A0A337STY8_FELCA,"Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2)",ALDH2,18.2,15.2,14.4
A0A337RWN1_FELCA,aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3),ALDH7A1,12.4,11.3,12.7
A0A337S2J9_FELCA,Aldehyde dehydrogenase 8 family member A1,ALDH8A1,21.6,19.4,19.3
A0A337SF20_FELCA,Aldehyde dehydrogenase 8 family member A1,ALDH8A1,17.2,19.5,17.1
M3W1Z4_FELCA,4-trimethylaminobutyraldehyde dehydrogenase (EC 1.2.1.19) (EC 1.2.1.3) (EC 1.2.1.46) (EC 1.2.1.47) (Aldehyde dehydrogenase family 9 member A1) (Formaldehyde dehydrogenase) (Gamma-aminobutyraldehyde dehydrogenase),ALDH9A1,21.9,20.1,19.7
A0A337S416_FELCA,Fructose-bisphosphate aldolase (EC 4.1.2.13),ALDOA,24.6,23.5,23.6
A0A5F5XME0_FELCA,Fructose-bisphosphate aldolase (EC 4.1.2.13),ALDOB,24.8,22,21.3
A0A337SRA7_FELCA,Alkaline phosphatase (EC 3.1.3.1),ALPI,20.1,15.3,15.2
PPBT_FELCA,"Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase) (EC 3.9.1.1)",ALPL,25.8,21.9,22
A0A337SNZ0_FELCA,Protein amnionless,AMN,23.1,22,21.9
A0A337SBE3_FELCA,Protein amnionless,AMN,24.7,22.6,22.4
A0A5F5Y013_FELCA,Alpha-amylase (EC 3.2.1.1),AMY2B,26.2,25.5,25.6
M3X5H0_FELCA,Alpha-amylase (EC 3.2.1.1),AMY2B,20.3,18,17.7
A0A337SEZ4_FELCA,Angiopoietin-2,ANGPT2,23.5,22.2,22.1
M3X749_FELCA,Angiopoietin 4,ANGPT4,23.7,19.6,19.6
A0A5F5XNX6_FELCA,Angiopoietin like 1,ANGPTL1,22.8,20.8,21.5
M3WA23_FELCA,Angiopoietin like 2,ANGPTL2,26.8,23.5,23.7
M3WET8_FELCA,Angiopoietin like 3,ANGPTL3,27.1,20,20
A0A5F5Y1K1_FELCA,Angiopoietin like 6,ANGPTL6,23.7,18,18.3
A0A337SS27_FELCA,Aminopeptidase N (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (Microsomal aminopeptidase),ANPEP,20.9,18.5,17.8
AMPN_FELCA,Aminopeptidase N (AP-N) (fAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (CD antigen CD13),ANPEP APN,26.6,23.4,23.4
A0A337SIV7_FELCA,ANTXR cell adhesion molecule 1,ANTXR1,25.4,19.9,20.1
A0A337SPR7_FELCA,ANTXR cell adhesion molecule 2,ANTXR2,18,18.9,18.8
A0A5F5XLK1_FELCA,Annexin,ANXA1,20.2,18.2,19.1
M3W3I3_FELCA,Annexin A10,ANXA10,19.5,14.7,14.6
A0A5F5XPA1_FELCA,Annexin,ANXA11,26.1,21.9,21.8
M3XFZ3_FELCA,Annexin,ANXA11,20,11.7,10.9
A0A337SIG2_FELCA,Annexin,ANXA13,22.6,20.5,20.4
A0A337SCD2_FELCA,Annexin,ANXA2,24.5,20.8,21.1
A0A337S137_FELCA,Annexin,ANXA4,24.8,22,22.2
A0A337S5C0_FELCA,Annexin,ANXA5,22.9,21.6,21.4
A0A5F5Y7J8_FELCA,Annexin,ANXA5,17.8,14.7,15.3
A0A337SBJ0_FELCA,Annexin,ANXA5,21.5,18.2,16.9
A0A337SF88_FELCA,Annexin,ANXA6,23.1,20.3,20.5
A0A5F5XRH7_FELCA,Annexin,ANXA6,23.1,21.3,21.3
A0A2I2UN04_FELCA,Annexin,ANXA7,23.2,22,22
A0A2I2U0U5_FELCA,Amine oxidase (EC 1.4.3.-),AOC2,15.1,15.5,16
A0A337SWK3_FELCA,Amine oxidase (EC 1.4.3.-),AOC3,23.7,22,22
A0A2I2U7C2_FELCA,Adaptor related protein complex 1 subunit beta 1,AP1B1,18.7,15.2,12.8
A0A337SCH1_FELCA,Amyloid beta protein binding family B member 1,APBB1 HPX,27.7,32.3,32.3
A0A5F5XCW1_FELCA,Amyloid beta protein binding family B member 1,APBB1 HPX,26.6,31.1,31
M3W2J4_FELCA,Amyloid beta protein binding family B member 1,APBB1 HPX,25.4,29.2,29.1
A0A5F5XQY3_FELCA,Amyloid beta like protein 1,APLP1,22.1,18.7,18.8
A0A2I2UM58_FELCA,Amyloid beta like protein 2,APLP2,24,21.3,21.5
A0A337S837_FELCA,Apolipoprotein A-I (Apolipoprotein A1),APOA1,27.5,33.1,33.4
M3WPG6_FELCA,Apolipoprotein A-I (Apolipoprotein A1),APOA1,23.8,30.1,30.4
APOA4_FELCA,Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4),APOA4,25.2,28.7,29
A0A337SHX7_FELCA,Apolipoprotein B,APOB,26.6,26.2,26.2
APOC1_FELCA,Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I],APOC1,21.8,24.7,24.8
M3WNX1_FELCA,Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2),APOC2,21.7,26.5,26.5
M3WSC8_FELCA,Apolipoprotein C-III (Apolipoprotein C3),APOC3,23.6,30.1,30.2
M3W2V3_FELCA,Apolipoprotein C-IV (Apolipoprotein C4),APOC4,13.6,23.7,23.7
M3X8P7_FELCA,Apolipoprotein D (Apo-D),APOD,24,27.1,27.3
A0A5F5XHD8_FELCA,Beta-2-glycoprotein 1 (Apolipoprotein H) (Beta-2-glycoprotein I),APOH,27.2,30.5,30.5
A0A5F5XPI7_FELCA,Beta-2-glycoprotein 1 (Apolipoprotein H) (Beta-2-glycoprotein I),APOH,27,26.5,26.7
A0A2I2U3L7_FELCA,Apolipoprotein M,APOM,22.8,27.1,27.2
M3W828_FELCA,Apolipoprotein M,APOM,20.1,24.6,24.8
A0A0A0MPX8_FELCA,Amyloid-beta A4 protein,APP,24.9,20.4,20.9
A0A2I2UMH4_FELCA,Adenine phosphoribosyltransferase (EC 2.4.2.7),APRT,19.8,20.6,20.5
A0A2I2UAM6_FELCA,Aquaporin-1 (Aquaporin-CHIP) (Water channel protein for red blood cells and kidney proximal tubule),AQP1,22.8,17.8,17.9
A0A2I2U5A2_FELCA,Aquaporin-2 (ADH water channel) (Aquaporin-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct),AQP2,23.3,20.7,19.8
M3VUM2_FELCA,Amphiregulin,AREG,20.9,17,18
A0A2I2U8Y1_FELCA,ADP-ribosylation factor 3,ARF3,21.3,18.8,18.4
M3VXU3_FELCA,Arginase (EC 3.5.3.1),ARG1,17.3,15.3,15.3
A0A2I2UBL3_FELCA,Rho GDP-dissociation inhibitor 1 (Rho-GDI alpha),ARHGDIA,21.8,18.8,19.2
A0A2I2UL98_FELCA,Rho GDP dissociation inhibitor beta,ARHGDIB,14,14.9,13.8
M3WSL5_FELCA,Actin-related protein 2/3 complex subunit 4,ARPC4,18.6,16.7,16.7
M3WMY0_FELCA,Actin-related protein 2/3 complex subunit 5,ARPC5,18,17.1,17.1
M3XEH2_FELCA,Arrestin domain containing 1,ARRDC1,22.7,19.8,19.2
A0A5F5Y690_FELCA,Arrestin domain containing 1,ARRDC1,21,19.3,19
M3WDK2_FELCA,Arylsulfatase A,ARSA,24,19.7,19.8
A0A5F5XKR0_FELCA,Arylsulfatase G,ARSG,19,19.9,18.5
M3XAU5_FELCA,NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase),ART1,22.9,19.6,19.6
A0A2I2UC45_FELCA,NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase),ART3,22.2,21.1,21.3
M3XDK8_FELCA,NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase),ART4,24,19.5,19.3
A0A2I2V0N3_FELCA,Acid ceramidase (EC 3.5.1.23),ASAH1,29,21,21.1
A0A5F5XFU3_FELCA,Ankyrin repeat and SOCS box containing 1,ASB1,16.9,21.8,21.9
A0A337SSG0_FELCA,Asialoglycoprotein receptor 1,ASGR1,19.1,16.5,16.1
A0A337SX21_FELCA,Asialoglycoprotein receptor 1,ASGR1,20.1,12.1,13.2
A0A337SAN3_FELCA,Asialoglycoprotein receptor 1,ASGR1,20,13.2,14.9
A0A2I2U788_FELCA,Argininosuccinate lyase,ASL,20.5,21.5,21.5
M3WLS9_FELCA,Aspartate dehydrogenase domain-containing protein,ASPDH,21.6,20.6,20.6
M3WWN6_FELCA,Asporin,ASPN,20.8,17.6,16.9
M3W3H5_FELCA,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),ASS1,20.7,18.5,19.1
M3W551_FELCA,Copper transport protein ATOX1 (Metal transport protein ATX1),ATOX1,27.1,20,20.2
A0A2I2UGY1_FELCA,Sodium/potassium-transporting ATPase subunit alpha,ATP1A1,24.6,20.6,20.9
M3WB86_FELCA,Sodium/potassium-transporting ATPase subunit beta,ATP1B1,24.3,25,24.7
M3WZB0_FELCA,ATP synthase subunit alpha,ATP5F1A,19.4,20.2,19.5
M3WF16_FELCA,ATPase H+ transporting accessory protein 1,ATP6AP1,22.1,14.7,13.5
A0A337SFQ2_FELCA,Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin/prorenin receptor),ATP6AP2,23.4,23.1,22.8
A0A2I2UMK7_FELCA,V-type proton ATPase subunit a,ATP6V0A1,18.6,16.5,17.4
A0A5F5XUE7_FELCA,V-type proton ATPase proteolipid subunit,ATP6V0C,18,14.5,14.7
A0A337SG88_FELCA,V-type proton ATPase subunit,ATP6V0D1,19.9,19.7,19
A0A2I2U1C8_FELCA,H(+)-transporting two-sector ATPase (EC 7.1.2.2),ATP6V1A,23,21.4,21.4
A0A2I2V4V3_FELCA,Vacuolar proton pump subunit B (V-ATPase subunit B) (Vacuolar proton pump subunit B),ATP6V1B2,22.9,21.7,22.1
A0A337SKQ1_FELCA,V-type proton ATPase subunit C,ATP6V1C1,19.7,18.3,18.9
A0A337SK67_FELCA,V-type proton ATPase subunit E 1 (V-type proton ATPase subunit e 1) (Vacuolar proton pump subunit E 1),ATP6V1E1,20,17.2,16.8
A0A2I2V0F1_FELCA,V-type proton ATPase subunit G,ATP6V1G1,19.5,12.7,13
A0A337SHV5_FELCA,V-type proton ATPase subunit H,ATP6V1H,17.3,15.8,17.5
A0A337SFT2_FELCA,Attractin,ATRN,27.5,26.5,26.9
A0A2I2U5X4_FELCA,Arginine vasopressin,AVP,19.8,13.2,13.3
A0A2I2UTQ4_FELCA,receptor protein-tyrosine kinase (EC 2.7.10.1),AXL,26,20.8,20.5
B2MG_FELCA,Beta-2-microglobulin,B2M,26.5,21.6,21.5
M3WAQ7_FELCA,Hexosyltransferase (EC 2.4.1.-),B3GNT2,24.6,22.3,22.7
A0A2I2UH51_FELCA,"Beta-1,4-galactosyltransferase (Beta-1,4-GalTase) (EC 2.4.1.-)",B4GALT1,22.8,20.5,20.7
A0A5F5XM71_FELCA,"Beta-1,4-galactosyltransferase (Beta-1,4-GalTase) (EC 2.4.1.-)",B4GALT5,21.3,18.1,18.3
M3WQ57_FELCA,"Beta-1,4-glucuronyltransferase 1 (I-beta-1,3-N-acetylglucosaminyltransferase) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)",B4GAT1,25.7,23.5,24.4
A0A2I2V0L4_FELCA,Brain-specific angiogenesis inhibitor 1-associated protein 2,BAIAP2,21,19.7,19.8
A0A5F5XSY0_FELCA,BAR/IMD domain containing adaptor protein 2 like 1,BAIAP2L1,20.3,22.7,22.5
A0A337S942_FELCA,BMP and activin membrane-bound inhibitor homolog,BAMBI,23.2,21.6,16.7
A0A337STZ5_FELCA,Brain abundant membrane attached signal protein 1,BASP1,19.6,21,20.6
M3W2U8_FELCA,Basal cell adhesion molecule (Lutheran blood group),BCAM,27,21.7,22
A0A2I2UQE2_FELCA,Branched-chain-amino-acid aminotransferase (EC 2.6.1.42),BCAT1,17.2,18.8,19
A0A2I2U2A7_FELCA,BCL6 corepressor like 1,BCORL1,11.8,14.4,14.3
A0A5F5XI01_FELCA,Dehydrogenase/reductase SDR family member 6 (EC 1.1.1.104) (EC 1.1.1.30) ((R)-beta-hydroxybutyrate dehydrogenase) (3-hydroxybutyrate dehydrogenase type 2) (4-oxo-L-proline reductase) (Oxidoreductase UCPA) (Short chain dehydrogenase/reductase family 15C member 1),BDH2,20.8,19,19.6
A0A5F5XF81_FELCA,Osteocalcin,BGLAP,18.8,14,14.6
A0A2I2UZ39_FELCA,Bridging integrator 1,BIN1,20.5,18.1,17.9
A0A337SQ46_FELCA,Biliverdin reductase B,BLVRB,24,20.5,22.2
M3VVW0_FELCA,Biliverdin reductase B,BLVRB,20,19.9,21.4
M3XCQ9_FELCA,receptor protein serine/threonine kinase (EC 2.7.11.30),BMPR1A,16.5,13.6,16.5
A0A2I2U0V3_FELCA,receptor protein serine/threonine kinase (EC 2.7.11.30),BMPR2,21.6,18.4,18.1
M3VUA4_FELCA,"BOC cell adhesion associated, onco regulated",BOC,15.9,20.8,21.4
M3WM50_FELCA,BPI fold-containing family A member 1 (Palate lung and nasal epithelium clone protein),BPIFA1,21.5,22.7,21
A0A2I2UYJ3_FELCA,Bactericidal permeability-increasing protein (BPI),BPIFC,14.7,16.3,15.7
A0A5F5XJH2_FELCA,BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein),BROX,22.2,20.9,20.1
A0A5F5XRG8_FELCA,BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein),BROX,21.9,18.2,18.4
A0A337S935_FELCA,Bromodomain and WD repeat domain containing 1,BRWD1,13.6,18.5,17.1
A0A5F5XCB9_FELCA,Basigin,BSG,24.9,20.7,20.7
A0A2I2UA49_FELCA,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),BST1,24.1,20,20.1
A0A2I2U769_FELCA,Bone marrow stromal cell antigen 2,BST2,21,21.9,22.3
A0A2I2U4L9_FELCA,Biotinidase (EC 3.5.1.12),BTD,24.9,24.2,24.3
A0A337SAQ9_FELCA,B and T lymphocyte associated,BTLA,20.8,18.3,18.3
A0A2I2V139_FELCA,Chromosome 19 open reading frame 33,C19orf33,18,20.2,18.4
M3WS63_FELCA,Complement C1q subcomponent subunit A,C1QA,23.4,23.8,23.9
A0A337SJG7_FELCA,Complement C1q C chain,C1QC,18.9,24.3,24.4
A0A5F5XD66_FELCA,C1q and TNF related 5,C1QTNF5,18.7,13.3,13.7
A0A337SDE6_FELCA,complement subcomponent C1r (EC 3.4.21.41),C1R,24.2,24.5,25.5
A0A337S217_FELCA,CUB domain-containing protein,C1R,19.3,24,25.1
A0A5F5XHF5_FELCA,Complement C1s,C1S,22.2,25.8,26.4
A0A2I2V4P2_FELCA,Complement C2 (EC 3.4.21.43) (C3/C5 convertase),C2,25.6,25.4,25.4
A0A5F5Y0X6_FELCA,Complement component 4 binding protein alpha,C4BPA,24,25.5,25.4
A0A5F5Y5F1_FELCA,Complement component 4 binding protein alpha,C4BPA,19.6,21.6,20.3
M3WJK3_FELCA,Complement component 4 binding protein alpha,C4BPA,21.8,24,23.9
A0A5F5Y442_FELCA,Complement component 4 binding protein alpha,C4BPA,23.1,25.5,25.4
M3WJK2_FELCA,Complement component 4 binding protein beta,C4BPB,20.4,20.9,20.9
M3VV58_FELCA,Complement C5,C5,24.3,26.1,26.2
M3WLH3_FELCA,Complement component C6,C6,22.9,23.1,23.2
A0A5F5XTG9_FELCA,Complement C7,C7,26.6,27,27.5
A0A5F5XPJ5_FELCA,Complement C8 alpha chain,C8A,24.5,25,25.4
M3W158_FELCA,Complement C8 alpha chain,C8A,15.9,16.8,17.6
A0A2I2U5W5_FELCA,Complement component C8 beta chain (Complement component 8 subunit beta),C8B,23,25.9,26.2
M3VUN7_FELCA,Complement C8 gamma chain,C8G,21.8,24.7,25.2
M3WI95_FELCA,Complement component C9,C9,24.2,27.1,27.4
A0A2I2U5V0_FELCA,Carbonic anhydrase (EC 4.2.1.1),CA12,24.1,20.6,20.9
A0A5F5XSK3_FELCA,Carbonic anhydrase 14,CA14,21.2,26.3,26.4
A0A5F5Y3X9_FELCA,carbonic anhydrase (EC 4.2.1.1),CA15,21.6,20.3,20
M3WTZ2_FELCA,Chromosome A1 C5orf15 homolog,CA1H5orf15,21.6,21,21.7
A0A5F5XMJ0_FELCA,Carbonic anhydrase (EC 4.2.1.1),CA2,25.8,24.2,25.4
M3WS40_FELCA,Carbonic anhydrase (EC 4.2.1.1),CA3,24.9,19.7,20.3
M3WAR8_FELCA,Carbonic anhydrase (EC 4.2.1.1),CA4,24.4,19.5,19.2
A0A2I2U448_FELCA,Calcium binding protein 39,CAB39,20.2,18.3,18.6
M3WKE5_FELCA,Calcium binding protein 39 like,CAB39L,19.2,15.9,16.7
A0A2I2U2E0_FELCA,Calcium voltage-gated channel auxiliary subunit alpha2delta 1,CACNA2D1,24.8,27.3,26.4
A0A2I2UR43_FELCA,Cell adhesion molecule 1,CADM1,23.5,18.3,18.2
A0A2I2UUH5_FELCA,Cell adhesion molecule 2,CADM2,21.1,22.6,22.2
M3WMA2_FELCA,Cell adhesion molecule 3,CADM3,24.2,20.2,20.5
A0A2I2ULF8_FELCA,Cell adhesion molecule 4,CADM4,26.9,19.1,19.3
A0A337RZZ8_FELCA,Calbindin,CALB1,19.6,17.9,18.2
A0A337SVD2_FELCA,EF-hand domain-containing protein,CALM1,21.9,19.5,19.9
A0A337SJA7_FELCA,Calmodulin 2 (Calmodulin 3),CALM3 CALM2,20.3,17.6,17.8
M3VUU7_FELCA,Calreticulin,CALR,23.8,24.5,24
A0A2I2U8F6_FELCA,Calreticulin,CALR3,22.7,22.2,23
A0A2I2U457_FELCA,Calumenin,CALU,21.5,18.7,19.9
A0A2I2UC97_FELCA,Calumenin,CALU,19.1,19.5,19
